target,listing_type,kitchen_type,building_condition,postcode,double_glazing,bathroom,m2,number_bedrooms
1265,Apartment,Hyper equipped,Renovated,1160,Yes,1.0,65,1
1265,Other,Hyper equipped,Renovated,,Yes,1.0,76,1
1100,Apartment,Hyper equipped,Renovated,1170,Yes,1.0,75,2
1800,Apartment,Hyper equipped,Renovated,1050,No,2.0,110,3
1250,Apartment,Hyper equipped,Renovated,1000,Yes,1.0,128,2
2250,Other,Not installed,Renovated,1160,Yes,2.0,175,3
1100,Apartment,Not installed,Renovated,1190,Yes,1.0,85,2
850,Apartment,Installed,Good,1060,Yes,1.0,60,1
820,Other,Installed,Renovated,1040,Yes,1.0,50,1
3080,Other,Hyper equipped,Renovated,1000,Yes,2.0,182,3
800,Other,Not installed,Good,1000,Yes,1.0,42,1
900,Other,Not installed,Good,1000,Yes,1.0,53,1
1265,Apartment,Hyper equipped,Renovated,1160,Yes,1.0,65,1
735,Apartment,Installed,Renovated,1200,Yes,1.0,45,1
1250,Apartment,Not installed,Good,1030,Yes,2.0,90,1
1250,Other,Not installed,Good,1030,Yes,2.0,90,1
720,Other,Installed,Renovated,,Yes,1.0,45,1
790,Apartment,Installed,Renovated,1210,Yes,1.0,75,1
1350,Other,Hyper equipped,Renovated,1030,Yes,1.0,85,2
1575,Apartment,Hyper equipped,Good,1040,Yes,1.0,65,2
1250,Other,Hyper equipped,Renovated,1210,Yes,1.0,49,1
1125,Other,Hyper equipped,Good,1000,Yes,1.0,65,1
840,Apartment,Installed,Good,1180,Yes,1.0,80,1
1360,Apartment,Installed,Renovated,1180,Yes,2.0,114,3
1260,Other,Not installed,Good,1150,Yes,2.0,95,2
1800,Other,Installed,Good,1040,No,1.0,95,2
1475,Apartment,Installed,Good,1030,No,1.0,95,2
1250,Apartment,Installed,Good,1150,No,1.0,70,1
1600,Apartment,Not installed,Renovated,1000,Yes,2.0,125,2
1870,Apartment,Hyper equipped,Renovated,1040,Yes,2.0,140,2
890,Apartment,Installed,Good,1180,No,1.0,50,1
960,Other,Installed,Good,1180,No,1.0,60,1
1450,Other,Hyper equipped,Renovated,,Yes,1.0,108,2
